Gene	Type	# condition specific	# condition up	# condition down	Condition up	Condition down	Gene_page
Mtr.12730.1.S1_at	S	7	0	7	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	NA
Mtr.12792.1.S1_at	S	5	0	5	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB	NA
Mtr.12848.1.S1_at	S	5	0	5	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_CRR_96hpi	NA
Mtr.12896.1.S1_s_at	S	1	0	1	-	RT_LCM_cortical	NA
Mtr.13163.1.S1_at	S	5	0	5	-	RT_Myc_3wks_infection,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.13302.1.S1_at	S	1	1	0	RT_BC	-	NA
Mtr.13316.1.S1_at	S	12	4	8	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.13436.1.S1_at	S	26	26	0	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Root_non_Myc_6wk_2_mM_P,RT_2ds_Sdl_culture_180mM_NaCl_6h,RT_2ds_Sdl_culture_180mM_NaCl_24h,RT_2ds_Sdl_culture_180mM_NaCl_48h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_2h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_5h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_10h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_24h,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_Whole,RT_BC,RT_drought_3d,RT_drought_4d,RT_drought_7d,RT_drought_10d,RT_drought_14d	-	NA
Mtr.13930.1.S1_at	S	1	1	0	GallTissue_GiantCell	-	NA
Mtr.13992.1.S1_at	S	24	24	0	Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,A17_LimN,Root_A17_5d_seedling_3dpi_Sinorhizobium,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	-	NA
Mtr.1444.1.S1_at	S	12	3	9	RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_2ds_Sdl_culture_180mM_NaCl_0h,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.14950.1.S1_s_at	S	1	0	1	-	Nod_zone2	NA
Mtr.17058.1.S1_at	S	4	4	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2	-	NA
Mtr.17106.1.S1_at	S	40	40	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_2wks_Sdl_Hydroponic_200mM_NaCl_0h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,A17_LimN,Root_A17_5d_seedling_3dpi_Sinorhizobium,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_2d,RT_drought_3d,RT_watered_d2,RT_watered_4d	-	NA
Mtr.1775.1.S1_s_at	S	37	37	0	RT_Myc_3wks_infection,GiantCell,Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_14d,RT_watered_d2	-	NA
Mtr.17934.1.S1_s_at	S	43	43	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,Root,RT_DeNod_28dpi,RT_0dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_10dpi_control,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_arbuscular,RT_LCM_cortical,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,sunn_LimN,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d,RT_watered_d2	-	NA
Mtr.20203.1.S1_s_at	S	5	0	5	-	Nod_zone2,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.20921.1.S1_at	S	7	0	7	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	NA
Mtr.22136.1.S1_at	S	7	0	7	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	NA
Mtr.25097.1.S1_at	S	4	4	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2	-	NA
Mtr.26238.1.S1_x_at	S	34	34	0	RT_Myc_3wks_infection,GiantCell,Nod_zone2,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_BC,RT_watered_d2	-	NA
Mtr.26632.1.S1_at	S	36	36	0	RT_Myc_3wks_infection,Nod_zone2,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_2ds_Sdl_culture_180mM_NaCl_0h,RT_2ds_Sdl_culture_180mM_NaCl_6h,RT_2ds_Sdl_culture_180mM_NaCl_24h,RT_2ds_Sdl_culture_180mM_NaCl_48h,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_BC	-	NA
Mtr.26798.1.S1_at	S	8	4	4	GallTissue_GiantCell,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.26923.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.27299.1.S1_at	S	12	0	12	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,GallTissue_GiantCell,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.27421.1.S1_s_at	S	1	1	0	GallTissue_GiantCell	-	NA
Mtr.27521.1.S1_s_at	S	1	1	0	RT_Myc_3wks_infection	-	NA
Mtr.27609.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.27977.1.S1_s_at	S	12	5	7	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.28105.1.S1_at	S	8	0	8	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.28563.1.S1_at	S	6	6	0	GiantCell,GallTissue_GiantCell,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	-	NA
Mtr.28613.1.S1_at	S	11	0	11	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.29220.1.S1_at	S	1	1	0	RT_BC	-	NA
Mtr.29550.1.S1_s_at	S	13	0	13	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,RT_LCM_arbuscular,RT_LCM_cortical,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.29708.1.S1_at	S	11	7	4	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.30178.1.S1_at	S	11	0	11	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.30885.1.S1_at	S	7	7	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
Mtr.30965.1.S1_at	S	11	0	11	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.31219.1.S1_at	S	10	7	3	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	Nod_Naut1_SalsB,Nod_Sals4_SalsB,RT_BC	NA
Mtr.31452.1.S1_at	S	1	1	0	Nod_Naut1_SalsB	-	NA
Mtr.31619.1.S1_at	S	1	1	0	RT_BC	-	NA
Mtr.32013.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.32072.1.S1_s_at	S	36	36	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_cortical,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Root_A17_5d_seedling_3dpi_Sinorhizobium,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d,RT_watered_d2	-	NA
Mtr.3209.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.32347.1.S1_at	S	1	1	0	GiantCell	-	NA
Mtr.3236.1.S1_at	S	34	34	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_watered_d2	-	NA
Mtr.3241.1.S1_at	S	34	34	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_watered_d2	-	NA
Mtr.3244.1.S1_s_at	S	40	40	0	RT_Myc_3wks_infection,Nod_zone2,Root,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,sunn_LimN,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d,RT_drought_14d,RT_watered_d2	-	NA
Mtr.3244.1.S1_x_at	S	41	41	0	RT_Myc_3wks_infection,Nod_zone2,Root,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_cortical,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,sunn_LimN,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d,RT_drought_14d,RT_watered_d2	-	NA
Mtr.3269.1.S1_at	S	40	40	0	RT_Myc_3wks_infection,GallTissue_GiantCell,Nod_zone2,Root,RT_DeNod_28dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_arbuscular,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,sunn_LimN,Root_sunn_2_skl_5d_seedling_4h_Nod_factor,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d,RT_watered_d2	-	NA
Mtr.32889.1.S1_at	S	6	0	6	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	NA
Mtr.331.1.S1_at	S	1	0	1	-	Nod_zone2	NA
Mtr.33151.1.S1_at	S	8	8	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	-	NA
Mtr.33280.1.S1_at	S	7	0	7	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	NA
Mtr.3346.1.S1_at	S	7	7	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
